Word,Freq
the,39
of,15
a,13
rainbow,9
to,8
is,7
and,5
it,5
have,5
in,4
as,4
that,4
when,3
with,3
one,3
no,3
was,3
or,3
by,3
red,3
bow,3
green,3
yellow,3
raindrops,2
form,2
light,2
many,2
its,2
beyond,2
there,2
pot,2
gold,2
at,2
end,2
people,2
but,2
for,2
his,2
be,2
from,2
gods,2
rain,2
which,2
reflection,2
since,2
upon,2
size,2
drops,2
band,2
increases,2
sunlight,1
strikes,1
air,1
they,1
act,1
prism,1
division,1
white,1
into,1
beautiful,1
colors,1
these,1
take,1
shape,1
long,1
round,1
arch,1
path,1
high,1
above,1
two,1
ends,1
apparently,1
horizon,1
according,1
legend,1
boiling,1
look,1
ever,1
finds,1
man,1
looks,1
something,1
reach,1
friends,1
say,1
he,1
looking,1
throughout,1
centuries,1
explained,1
various,1
ways,1
some,1
accepted,1
miracle,1
without,1
physical,1
explanation,1
hebrews,1
token,1
would,1
more,1
universal,1
floods,1
greeks,1
used,1
imagine,1
sign,1
foretell,1
war,1
heavy,1
norsemen,1
considered,1
bridge,1
over,1
passed,1
earth,1
their,1
home,1
sky,1
others,1
tried,1
explain,1
phenomenon,1
physically,1
aristotle,1
thought,1
caused,1
sun,1
s,1
rays,1
then,1
physicists,1
found,1
not,1
refraction,1
causes,1
rainbows,1
complicated,1
ideas,1
about,1
been,1
formed,1
difference,1
depends,1
considerably,1
width,1
colored,1
actual,1
primary,1
observed,1
said,1
effect,1
super,1
imposition,1
number,1
bows,1
if,1
second,1
falls,1
first,1
result,1
give,1
an,1
abnormally,1
wide,1
mixed,1
this,1
very,1
common,1
type,1
showing,1
mainly,1
little,1
blue,1
