Raters,Reps,Gender,Cons,Stimuli,Comp,Prof,Acc,Intel,RT1,RT2,WER
HR1,R1,Female,POST,F01,6,5,6,6,5.59,5.58,0.111111111
HR1,R1,Female,PRE,F01,4,4,5,5,6.81,4.47,0.333333333
HR1,R1,Female,POST,F02,5,5,5,5,4.53,5.18,0.111111111
HR1,R1,Female,PRE,F02,5,4,5,5,7.09,5.62,0.111111111
HR1,R1,Female,POST,F03,5,5,5,6,15.5,5.55,0.111111111
HR1,R1,Female,PRE,F03,6,6,7,7,3.88,4.11,0.111111111
HR1,R1,Female,POST,F04,5,5,5,6,4.82,5.59,0.111111111
HR1,R1,Female,PRE,F04,5,5,5,5,4.96,5.7,0.111111111
HR1,R1,Female,POST,F05,4,4,5,5,3.55,5.93,0.111111111
HR1,R1,Female,PRE,F05,6,5,5,5,6.38,4.11,0.222222222
HR1,R1,Female,POST,F06,3,3,4,4,5.27,2.96,0.666666667
HR1,R1,Female,PRE,F06,4,3,5,5,4.99,5.63,0.333333333
HR1,R1,Female,POST,F07,4,5,5,4,6.03,4.14,0.222222222
HR1,R1,Female,PRE,F07,5,5,5,6,4.46,4.25,0.444444444
HR1,R1,Female,POST,F08,5,5,5,5,3.36,3.81,0.333333333
HR1,R1,Female,PRE,F08,5,4,4,5,4.67,7.65,0.111111111
HR1,R1,Female,POST,F09,5,5,5,5,4.17,4.08,0.222222222
HR1,R1,Female,PRE,F09,4,4,5,6,3.48,5.17,0.111111111
HR1,R1,Female,POST,F10,3,3,5,5,5.01,3.73,0.444444444
HR1,R1,Female,PRE,F10,3,4,4,4,4.09,3.2,0.666666667
HR1,R1,Female,POST,F11,5,5,6,6,5.1,4.76,0.333333333
HR1,R1,Female,PRE,F11,5,5,5,5,4.05,3.62,0.111111111
HR1,R1,Female,POST,F12,6,6,5,6,5.59,8.66,0.111111111
HR1,R1,Female,PRE,F12,5,5,4,5,6.06,5.13,0.111111111
HR1,R1,Female,POST,F13,4,4,5,5,4.9,5.53,0.111111111
HR1,R1,Female,PRE,F13,4,4,5,4,6.05,5.74,0.333333333
HR1,R1,Female,POST,F14,7,7,7,7,4.04,3.74,0.111111111
