Q1,Q2,Major,DL_level,Concept
No,1st,English Language & Literature,1,"A1, A3, A4"
No,3rd,English Language & Literature,3,A1
No,1st,English Language & Literature,3,"A2, A3"
No,3rd,English Language & Literature,4,"A1, A2, A3, A4, A5, A6"
No,1st,English Language & Literature,3,A3
No,1st,English Language & Literature,3,"A2, A4, A6"
No,1st,English Language & Literature,2,A6
No,3rd,English Language & Literature,3,A6
No,1st,English Language & Literature,3,"A2, A3"
No,1st,English Language & Literature,3,"A2, A4, A5"
No,2nd,English Language & Literature,3,"A4, A5, A6"
No,1st,English Language & Literature,5,A3
No,1st,English Language & Literature,3,"A1, A2, A4"
No,1st,English Language & Literature,3,A1
No,1st,English Language & Literature,4,A3
No,1st,English Language & Literature,1,"A2, A3"
No,1st,English Language & Literature,2,A2
No,1st,English Language & Literature,3,"A4, A6"
No,1st,English Language & Literature,3,A3
No,1st,English Language & Literature,4,"A2, A6"
No,1st,English Language & Literature,2,A3
No,1st,English Language & Literature,3,"A2, A5"
No,1st,English Language & Literature,3,"A3, A4, A6"
No,4th,English Language & Literature,4,"A4, A6"
No,2nd,English Language & Literature,3,"A1, A4, A6"
No,1st,English Language & Literature,4,"A1, A4"
No,1st,English Language & Literature,2,"A4, A6"
No,1st,English Language & Literature,3,A3
No,3rd,English Language & Literature,4,"A1, A2, A3, A4, A5, A6"
No,1st,English Language & Literature,4,A2
No,1st,English Language & Literature,2,A1
No,1st,English Language & Literature,4,A5
No,1st,English Language & Literature,4,"A1, A2"
No,3rd,English Language & Literature,3,A4
No,1st,English Language & Literature,3,"A1, A3, A5"
No,1st,English Language & Literature,3,"A4, A6"
No,1st,English Language & Literature,5,A6
No,4th,"Other languages (e.g., Japanese, Russian, German, etc.)",3,"A1, A2, A4, A6"
No,1st,English Language & Literature,4,"A1, A4, A6"
No,2nd,English Language & Literature,3,"A4, A6"
No,1st,English Language & Literature,3,"A4, A6"
No,1st,English Language & Literature,3,A6
No,1st,English Language & Literature,3,"A2, A3, A5"
No,1st,English Language & Literature,4,"A4, A5"
No,1st,English Language & Literature,2,A1
NO,1st,English Language & Literature,2,A1
NO,1st,English Language & Literature,3,"A2, A5, A6"
YES,3rd,English Language & Literature,3,A3
NO,1st,English Education,3,A1
YES,2nd,English Language & Literature,3,A4
YES,2nd,English Language & Literature,2,"A1, A4"
YES,2nd,English Language & Literature,3,A6
YES,2nd,English Language & Literature,3,"A4, A6"
YES,3rd,English Language & Literature,3,"A1, A4"
YES,2nd,English Language & Literature,4,A4
YES,2nd,English Language & Literature,4,"A1, A3, A6"
YES,2nd,English Language & Literature,3,"A4, A6"
YES,3rd,English Language & Literature,4,"A1, A2"
YES,2nd,English Language & Literature,4,"A1, A5"
YES,4th,English Language & Literature,4,"A2, A3"
YES,3rd,English Language & Literature,3,"A1, A2, A3, A4, A5, A6"
YES,4th,English Language & Literature,4,"A1, A4, A6"
YES,4th,English Language & Literature,4,A6
YES,3rd,Humanities other than language major,4,"A4, A5, A6"
YES,2nd,English Language & Literature,4,A5
YES,2nd,English Language & Literature,3,"A1, A6"
YES,2nd,English Language & Literature,3,A6
YES,2nd,English Language & Literature,3,"A4, A6"
YES,4th,English Language & Literature,4,"A2, A6"
YES,2nd,English Language & Literature,3,"A4, A6"
YES,2nd,English Language & Literature,4,"A3, A4, A6"
YES,2nd,English Language & Literature,3,"A4, A6"
YES,3rd,English Language & Literature,4,A2
YES,2nd,English Language & Literature,3,"A4, A6"
YES,2nd,English Language & Literature,2,"A1, A3, A4, A6"
YES,2nd,English Language & Literature,3,A3
YES,4th,English Language & Literature,5,"A5, A6"
YES,Graduate,English Education,4,"A4, A6"
YES,Graduate,English Education,5,"A1, A2, A4"
NO,Graduate,English Education,1,"A1, A3"
NO,Graduate,English Education,4,"A5, A6"
NO,2nd,English Education,4,A2
YES,1st,English Education,4,"A4, A6"
NO,3rd,English Education,5,"A2, A4, A6"
NO,Graduate,English Education,4,A2
NO,Graduate,English Education,4,"A1, A2, A4"
NO,Graduate,English Education,4,A5
NO,Graduate,English Education,5,A4
YES,1st,English Education,5,"A1, A2, A3, A4, A5, A6"
YES,3rd,English Education,4,A2
NO,4th,"Other languages (e.g., Japanese, Russian, German, etc.)",4,"A1, A2, A3, A4, A5"
YES,Graduate,English Education,6,"A2, A6"
