Q1,Q2,Major,DL_level,Concept,Current_DL
No,1st,English Language & Literature,1,"A1, A3, A4",Beginner
No,3rd,English Language & Literature,3,A1,Intermediate
No,1st,English Language & Literature,3,"A2, A3",Beginner
No,3rd,English Language & Literature,4,"A1, A2, A3, A4, A5, A6",Beginner
No,1st,English Language & Literature,3,A3,Intermediate
No,1st,English Language & Literature,3,"A2, A4, A6",Beginner
No,1st,English Language & Literature,2,A6,Intermediate
No,3rd,English Language & Literature,3,A6,Beginner
No,1st,English Language & Literature,3,"A2, A3",Intermediate
No,1st,English Language & Literature,3,"A2, A4, A5",Beginner
No,2nd,English Language & Literature,3,"A4, A5, A6",Beginner
No,1st,English Language & Literature,5,A3,Intermediate
No,1st,English Language & Literature,3,"A1, A2, A4",Beginner
No,1st,English Language & Literature,3,A1,Beginner
No,1st,English Language & Literature,4,A3,Intermediate
No,1st,English Language & Literature,1,"A2, A3",Beginner
No,1st,English Language & Literature,2,A2,Intermediate
No,1st,English Language & Literature,3,"A4, A6",Intermediate
No,1st,English Language & Literature,3,A3,Beginner
No,1st,English Language & Literature,4,"A2, A6",Intermediate
No,1st,English Language & Literature,2,A3,Beginner
No,1st,English Language & Literature,3,"A2, A5",Intermediate
No,1st,English Language & Literature,3,"A3, A4, A6",Beginner
No,4th,English Language & Literature,4,"A4, A6",Advanced
No,2nd,English Language & Literature,3,"A1, A4, A6",Intermediate
No,1st,English Language & Literature,4,"A1, A4",Intermediate
No,1st,English Language & Literature,2,"A4, A6",Beginner
No,1st,English Language & Literature,3,A3,Intermediate
No,3rd,English Language & Literature,4,"A1, A2, A3, A4, A5, A6",Intermediate
No,1st,English Language & Literature,4,A2,Intermediate
No,1st,English Language & Literature,2,A1,Beginner
No,1st,English Language & Literature,4,A5,Beginner
No,1st,English Language & Literature,4,"A1, A2",Intermediate
No,3rd,English Language & Literature,3,A4,Intermediate
No,1st,English Language & Literature,3,"A1, A3, A5",Intermediate
No,1st,English Language & Literature,3,"A4, A6",Intermediate
No,1st,English Language & Literature,5,A6,Beginner
No,4th,English Language & Literature,3,"A1, A2, A4, A6",Advanced
No,1st,English Language & Literature,4,"A1, A4, A6",Beginner
No,2nd,English Language & Literature,3,"A4, A6",Beginner
No,1st,English Language & Literature,3,"A4, A6",Beginner
No,1st,English Language & Literature,3,A6,Beginner
No,1st,English Language & Literature,3,"A2, A3, A5",Intermediate
No,1st,English Language & Literature,4,"A4, A5",Advanced
No,1st,English Language & Literature,2,A1,Intermediate
NO,1st,English Language & Literature,2,A1,Intermediate
NO,1st,English Language & Literature,3,"A2, A5, A6",Intermediate
YES,3rd,English Language & Literature,3,A3,Intermediate
NO,1st,English Education,3,A1,Intermediate
YES,2nd,English Language & Literature,3,A4,Beginner
YES,2nd,English Language & Literature,2,"A1, A4",Intermediate
YES,2nd,English Language & Literature,3,A6,Beginner
YES,2nd,English Language & Literature,3,"A4, A6",Beginner
YES,3rd,English Language & Literature,3,"A1, A4",Beginner
YES,2nd,English Language & Literature,4,A4,Beginner
YES,2nd,English Language & Literature,4,"A1, A3, A6",Beginner
YES,2nd,English Language & Literature,3,"A4, A6",Beginner
YES,3rd,English Language & Literature,4,"A1, A2",Intermediate
